Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Girl on a Bicycle,2013,R,07 Mar 2013,101 min,"Comedy, Drama, Romance",Jeremy Leven,Jeremy Leven,"Vincenzo Amato, Nora Tschirner, Louise Monot","Just when Paolo, an Italian in Paris, is ready to propose to his girlfriend Greta, he sees beautiful young Cecile on her bicycle.","English, French, German, Italian","Germany, France",https://m.media-amazon.com/images/M/MV5BMjM3MTk0ODA1Nl5BMl5BanBnXkFtZTgwNzg1NDAxMDE@._V1_SX300.jpg,,,,,
One Chance,2013,PG-13,25 Oct 2013,103 min,"Biography, Comedy, Drama",David Frankel,Justin Zackham,"James Corden, Alexandra Roach, Julie Walters","The true story of Paul Potts, a shy, bullied shop assistant by day and an amateur opera singer by night who became a phenomenon after being chosen for -- and ultimately winning -- Britain's Got Talent (2007).","English, Italian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTA5MzQxMzEzOTVeQTJeQWpwZ15BbWU4MDY2NzM5NzIx._V1_SX300.jpg,,,,,
Pump,2014,PG,12 Sep 2014,88 min,Documentary,"Joshua Tickell, Rebecca Harrell Tickell",Johnny O'Hara,"Adhemar Altieri, Greg Anderson, Edwin Black","A documentary that tells the story of America's addiction to oil, from its corporate conspiracy beginnings to its current monopoly today, and explains clearly and simply how we can end it - and finally win choice at the pump.",English,"United States, China",https://m.media-amazon.com/images/M/MV5BMjA1Mzg0Nzk5OF5BMl5BanBnXkFtZTgwODY3MzY1MjE@._V1_SX300.jpg,,,,,
Hiroshima Mon Amour,1959,Not Rated,16 May 1960,90 min,"Drama, Romance",Alain Resnais,Marguerite Duras,"Emmanuelle Riva, Eiji Okada, Stella Dassas",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,"French, Japanese, English","France, Japan",https://m.media-amazon.com/images/M/MV5BMzY2NTA1MzUwN15BMl5BanBnXkFtZTgwOTc4NTU4MjE@._V1_SX300.jpg,,,,,
Breathe In,2013,R,19 Jul 2013,98 min,"Drama, Romance",Drake Doremus,"Drake Doremus, Ben York Jones","Felicity Jones, Guy Pearce, Mackenzie Davis","When a foreign exchange student arrives in a small upstate New York town, she challenges the dynamics of her host family's relationships and alters their lives forever.",English,United States,https://m.media-amazon.com/images/M/MV5BMTgwNzY4MDYyN15BMl5BanBnXkFtZTgwODExMjgwMTE@._V1_SX300.jpg,,,,,
The Best Offer,2013,R,01 Jan 2014,131 min,"Crime, Drama, Mystery",Giuseppe Tornatore,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,English,Italy,https://m.media-amazon.com/images/M/MV5BMTQ4MzQ3NjA0N15BMl5BanBnXkFtZTgwODQyNjQ4MDE@._V1_SX300.jpg,,,,,
Visitors,2003,R,27 Nov 2003,100 min,"Drama, Horror, Mystery",Richard Franklin,Everett De Roche,"Radha Mitchell, Susannah York, Ray Barrett","The story of Georgia Perry, the first woman to sail around the world solo.",English,Australia,https://m.media-amazon.com/images/M/MV5BN2FmNjI5NWQtZjYyMi00YjEyLThlNTgtNmMxMDg3ODQ2NDQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Advanced Style,2014,N/A,09 May 2014,72 min,"Documentary, Biography, Comedy",Lina Plioplyte,"Ari Cohen, Lina Plioplyte","Iris Apfel, Joyce Carpati, Ari Cohen",Advanced Style examines the lives of seven unique New Yorkers whose eclectic personal style and vital spirit have guided their approach to aging.,English,United States,https://m.media-amazon.com/images/M/MV5BMjM1MDc0NTE1NV5BMl5BanBnXkFtZTgwNzY0ODMzMjE@._V1_SX300.jpg,,,,,
Ender's Game,2013,PG-13,01 Nov 2013,114 min,"Action, Adventure, Sci-Fi",Gavin Hood,"Gavin Hood, Orson Scott Card","Harrison Ford, Asa Butterfield, Hailee Steinfeld","Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",English,United States,https://m.media-amazon.com/images/M/MV5BMjAzMzI5OTgzMl5BMl5BanBnXkFtZTgwMTU5MTAwMDE@._V1_SX300.jpg,,,,,
Life After Beth,2014,R,15 Jul 2014,89 min,"Comedy, Fantasy, Horror",Jeff Baena,Jeff Baena,"Aubrey Plaza, Dane DeHaan, John C. Reilly","A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.",English,United States,https://m.media-amazon.com/images/M/MV5BNTJiYzY5ODAtNWJkNy00YjVmLWEwODMtNWY1YTYyOTNjYzhiXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Nightmare Before Christmas,1993,PG,29 Oct 1993,76 min,"Animation, Family, Fantasy",Henry Selick,"Tim Burton, Michael McDowell, Caroline Thompson","Danny Elfman, Chris Sarandon, Catherine O'Hara","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",English,United States,https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_SX300.jpg,,,,,
Fort McCoy,2011,R,15 Aug 2014,100 min,"Drama, History, War","Kate Connor, Michael Worth",Kate Connor,"Eric Stoltz, Kate Connor, Lyndsy Fonseca",A drama based on a true story when the Stirn family lived next to a Nazi POW camp in Wisconsin during W.W.II.,English,United States,https://m.media-amazon.com/images/M/MV5BMzQ3MTkyNDAwMF5BMl5BanBnXkFtZTgwOTIyOTcxMjE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
,,,,,,,,,,,,,,Movie not found!,,,
Just a Sigh,2013,Not Rated,10 Jun 2014,104 min,"Drama, Romance",Jérôme Bonnell,Jérôme Bonnell,"Emmanuelle Devos, Gabriel Byrne, Gilles Privat",A French actress meets a foreigner who awakens something deep within her.,"French, English","France, Belgium, Ireland",https://m.media-amazon.com/images/M/MV5BMTYxOTUzMDAxNl5BMl5BanBnXkFtZTgwNjYxNzYxMTE@._V1_SX300.jpg,,,,,
Zero Motivation,2014,Unrated,26 Jun 2014,97 min,"Comedy, Drama",Talya Lavie,Talya Lavie,"Dana Ivgy, Nelly Tagar, Shani Klein",A unit of female Israeli soldiers at a remote desert base bide their time as they count down the minutes until they can return to civilian life.,Hebrew,Israel,https://m.media-amazon.com/images/M/MV5BMTgzOTg0MDY3NV5BMl5BanBnXkFtZTgwNTI0OTA0MzE@._V1_SX300.jpg,,,,,
Les yeux jaunes des crocodiles,2014,N/A,09 Apr 2014,118 min,Drama,Cécile Telerman,"Katherine Pancol, Charlotte De Champfleury, Cécile Telerman","Julie Depardieu, Emmanuelle Béart, Patrick Bruel","Two sisters, their families, and sometimes complicated lives.",French,"France, Spain",https://m.media-amazon.com/images/M/MV5BNmFkMTNhNzItYzkzOC00ZjUwLThmZWEtMDZhYjc0NGQ0NDA1XkEyXkFqcGdeQXVyNjE2MzYxMDQ@._V1_SX300.jpg,,,,,
Cutie and the Boxer,2013,R,01 Aug 2013,82 min,"Documentary, Biography",Zachary Heinzerling,Zachary Heinzerling,"Ushio Shinohara, Noriko Shinohara, Alex Shinohara","This candid New York love story explores the chaotic 40-year marriage of famed boxing painter Ushio Shinohara and his wife, Noriko. Anxious to shed her role as her overbearing husband's assistant, Noriko finds an identity of her own.","English, Japanese",United States,https://m.media-amazon.com/images/M/MV5BMjEyNzgyMjUzNl5BMl5BanBnXkFtZTcwODk3NjQyOQ@@._V1_SX300.jpg,,,,,
The Broken Circle Breakdown,2012,Not Rated,10 Oct 2012,111 min,"Drama, Music, Romance",Felix van Groeningen,"Johan Heldenbergh, Mieke Dobbels, Carl Joos","Veerle Baetens, Johan Heldenbergh, Nell Cattrysse","Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.","Flemish, English, Dutch","Belgium, Netherlands",https://m.media-amazon.com/images/M/MV5BMTQzMzg2Nzg2MF5BMl5BanBnXkFtZTgwNjUzNzIzMDE@._V1_SX300.jpg,,,,,
Escape Plan,2013,R,18 Oct 2013,115 min,"Action, Thriller",Mikael Håfström,"Miles Chapman, Jason Keller","Sylvester Stallone, Arnold Schwarzenegger, 50 Cent","When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.","English, German, Arabic, Urdu",United States,https://m.media-amazon.com/images/M/MV5BMTk3OTcxMTEyNl5BMl5BanBnXkFtZTcwMDQ4MjQ2OQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Square,2017,R,25 Aug 2017,151 min,"Comedy, Drama",Ruben Östlund,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,"Swedish, English, Danish","Sweden, Germany, France, Denmark",https://m.media-amazon.com/images/M/MV5BMmJjNzk0ODMtMzllOC00MjIwLWFhZjEtOTFjMmY3ZDU4MDRlXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,,,,,
Final: The Rapture,2013,PG-13,13 Sep 2013,90 min,Thriller,Timothy A. Chey,Timothy A. Chey,"Jah Shams, Mary Grace, Carman","A gritty, international tale of four separate stories woven together by a common theme: the Rapture.","English, Japanese, Spanish","United States, Japan, Argentina, Costa Rica",https://m.media-amazon.com/images/M/MV5BMTAzOTEyNTgzOTdeQTJeQWpwZ15BbWU4MDA1MDI2MjAx._V1_SX300.jpg,,,,,
Take Me to the River,2015,Not Rated,26 Jan 2015,84 min,Drama,Matt Sobel,Matt Sobel,"Logan Miller, Robin Weigert, Josh Hamilton",A Californian teenager's plan to come out at his Nebraskan family reunion gets derailed when a bloodstain on his young cousin's dress makes him the unwitting suspect of abuse.,English,United States,https://m.media-amazon.com/images/M/MV5BY2VlNDAzYTUtNDY5Ny00NTZlLTgyMGYtYTFjZTg4NGY2NDRmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg,,,,,
Bang bang je t'aime je t'aime,2005,N/A,18 Apr 2005,13 min,Short,Myriam Donasis,Myriam Donasis,"Marie Donnio, Anaïs de Courson, Adeline Zahnd",N/A,French,France,N/A,,,,,
For No Good Reason,2012,R,08 Mar 2014,89 min,"Documentary, Biography, History",Charlie Paul,N/A,"Ralph Steadman, Johnny Depp, Hunter S. Thompson","Johnny Depp pays a visit to Ralph Steadman, the renown artist and the last of the original Gonzo visionaries who worked alongside Hunter S. Thompson.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTg4MTg0NTA5M15BMl5BanBnXkFtZTgwMjk2Njg1MTE@._V1_SX300.jpg,,,,,
The Notebook,2004,PG-13,25 Jun 2004,123 min,"Drama, Romance",Nick Cassavetes,"Jeremy Leven, Jan Sardi, Nicholas Sparks","Gena Rowlands, James Garner, Rachel McAdams","A poor yet passionate young man (Ryan Gosling) falls in love with a rich young woman (Rachel McAdams), giving her a sense of freedom, but they are soon separated because of their social differences.",English,United States,https://m.media-amazon.com/images/M/MV5BMTk3OTM5Njg5M15BMl5BanBnXkFtZTYwMzA0ODI3._V1_SX300.jpg,,,,,
Song of the Sea,2014,PG,20 Nov 2015,93 min,"Animation, Adventure, Drama",Tomm Moore,"Will Collins, Tomm Moore","David Rawle, Brendan Gleeson, Lisa Hannigan","Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.","English, Irish Gaelic","Ireland, Denmark, Belgium, France",https://m.media-amazon.com/images/M/MV5BMTQ2MDMwNjEwNV5BMl5BanBnXkFtZTgwOTkxMzI0MzE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,,500.0,Could not resolve host: www.omdbapi.com; Unknown error,[]
Watermark,2003,N/A,23 May 2003,76 min,"Crime, Drama, Mystery",Georgina Willis,Georgina Willis,"Jai Koutrae, Sandra Stockley, Ruth McDonald","One man, two women. Past and present collide. What happens when someone kills, but no-one is guilty?",English,Australia,https://m.media-amazon.com/images/M/MV5BNTEzODc5NTgwNl5BMl5BanBnXkFtZTcwODU3ODczMQ@@._V1_SX300.jpg,,,,,
Jealousy,2013,N/A,22 Aug 2014,77 min,Drama,Philippe Garrel,"Marc Cholodenko, Caroline Deruas-Garrel, Philippe Garrel","Louis Garrel, Anna Mouglalis, Rebecca Convenant","As a man leaves his wife and daughter, a series of brief conversations, observed gestures, chance encounters and impulsive acts, tell the story of the relationships that flounder and thrive in the wake of this decision.",French,France,https://m.media-amazon.com/images/M/MV5BYWU2ZjMzYmQtNGFmZi00OTdlLTgzMDQtMTdjYmI1OTRjMWRhXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,,,,,
Heropanti,2014,Not Rated,23 May 2014,146 min,"Action, Romance",Sabir Khan,"Bommarillu Baskar, Sanjeev Dutta","Tiger Shroff, Kriti Sanon, Parthaa Akerkar",Two young people find love despite the violent landscape in which they live.,Hindi,India,https://m.media-amazon.com/images/M/MV5BNGY4NDQxMDMtYmE0OS00ZDhiLTgyMTUtMGU4NzE3OGNmNGVmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,,,,,
The Last Sentence,2012,Unrated,20 Jun 2014,126 min,"Biography, Drama",Jan Troell,"Kenne Fant, Klaus Rifbjerg, Jan Troell","Jesper Christensen, Pernilla August, Ulla Skoog","A story based on the life of journalist Torgny Segerstedt, who alerted the Swedish public to the threat of Fascism in the 1930s.",Swedish,"Sweden, Norway",https://m.media-amazon.com/images/M/MV5BMTc4NzU4NzgxMF5BMl5BanBnXkFtZTgwNjQ4NzIwMjE@._V1_SX300.jpg,,,,,
Tiger,2021,TV-MA,10 Jan 2021,192 min,"Documentary, Biography, Sport","Matthew Hamachek, Matthew Heineman",N/A,"Tiger Woods, Pete McDaniel, Steve Williams","A look at the life, success and scandals of golf legend Tiger Woods.",English,United States,https://m.media-amazon.com/images/M/MV5BYmJhNmVkNzAtMjFkOC00OWMwLWFiYTMtOGQ1NGMyZTIyYmU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,1,,,,
The Art of the Steal,2013,R,20 Jun 2014,90 min,"Comedy, Crime, Thriller",Jonathan Sobol,Jonathan Sobol,"Kurt Russell, Jay Baruchel, Katheryn Winnick","Crunch Calhoun, a semi-reformed art thief, agrees to get his old gang back together to pull off one last heist.","English, Spanish","Canada, United States",https://m.media-amazon.com/images/M/MV5BNjUxNjYyNTUxMF5BMl5BanBnXkFtZTgwNDgyMDcyMTE@._V1_SX300.jpg,,,,,
Maidentrip,2013,Not Rated,10 Mar 2013,82 min,"Documentary, Adventure, Biography",Jillian Schlesinger,N/A,"Dick Dekker, Kim Dekker, Laura Dekker",14-year-old Laura Dekker sets out on a two-year voyage in pursuit of her dream to become the youngest person ever to sail around the world alone.,"Dutch, English",United States,https://m.media-amazon.com/images/M/MV5BMTc2MDg5MzUzNl5BMl5BanBnXkFtZTgwMTE4NTg3MDE@._V1_SX300.jpg,,,,,
Siddharth,2013,G,05 Jun 2014,96 min,Drama,Richie Mehta,"Maureen Dorey, Richie Mehta, Rajesh Tailang","Rajesh Tailang, Tannishtha Chatterjee, Anurag Arora","A chain-wallah from Delhi travels across India in search of his missing son, in the hopes that whoever took him, returns him unharmed.",Hindi,"Canada, India",https://m.media-amazon.com/images/M/MV5BN2ZjYjU3M2UtZmI3MS00N2FiLWFmYzMtMzI2YmIzNTY2NmVhXkEyXkFqcGdeQXVyMjc3ODU3NDQ@._V1_SX300.jpg,,,,,
Frontera,2014,PG-13,31 Jul 2014,103 min,"Drama, Thriller, Western",Michael Berry,"Michael Berry, Louis Moulinet","Ed Harris, Eva Longoria, Michael Peña","A former Arizona sheriff's wife is killed while riding on their ranch property. It would appear a Mexican man illegally crossing into the US is at fault. As the former and the current sheriff search for answers, lives are changed ...","English, Spanish, Persian",United States,https://m.media-amazon.com/images/M/MV5BMTQwOTA2NTM3OV5BMl5BanBnXkFtZTgwMDY1OTU5MTE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Wetlands,2013,Not Rated,22 Aug 2013,109 min,"Comedy, Drama",David Wnendt,"Claus Falkenberg, David Wnendt, Sabine Pochhammer","Carla Juri, Christoph Letkowski, Marlen Kruse",The adventures of an eccentric girl who has strange attitudes towards hygiene and sexuality longs for the reunion of her divorced parents.,German,Germany,https://m.media-amazon.com/images/M/MV5BNzk0MjkzYjAtMTVlZi00MDgzLWFhOTItZGJmYWI2MGE4NTcyXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,,,,,
Cheap Thrills,2013,Not Rated,21 Mar 2014,88 min,"Comedy, Crime, Drama",E.L. Katz,"David Chirchirillo, Roald Dahl, Trent Haaga","Pat Healy, Ethan Embry, Sara Paxton",A scheming couple put a struggling family man and his old friend through a series of increasingly twisted dares over the course of an evening at a local bar.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY2Mzg0NDE4OV5BMl5BanBnXkFtZTgwMzYyMDI4MDE@._V1_SX300.jpg,,,,,
Sweet Dreams,1985,PG-13,11 Oct 1985,115 min,"Biography, Drama, Music",Karel Reisz,Robert Getchell,"Jessica Lange, Ed Harris, Ann Wedgeworth","The story of Patsy Cline, the velvet-voiced country music singer who died in a tragic plane crash at the height of her fame.",English,United States,https://m.media-amazon.com/images/M/MV5BMGY3MzhlNjQtZGYzZC00ODVlLTg0MTctMTZjMzQxYWQ4OWQ2XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,,,,,
Walk of Shame,2014,R,01 May 2014,95 min,Comedy,Steven Brill,Steven Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs","A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.","English, Hebrew",United States,https://m.media-amazon.com/images/M/MV5BODg2Mzk0NzU2M15BMl5BanBnXkFtZTgwMjAyNjYxMTE@._V1_SX300.jpg,,,,,
The One I Wrote for You,2014,PG,15 Feb 2016,110 min,"Drama, Family, Music",Andy Lauer,"David Kauffman, Steven Sessions","Cheyenne Jackson, Kevin Pollak, Christine Woods","A singer and songwriter, who gave up his dream is entered into a Reality TV songwriting contest. But after losing the first two rounds, he takes on a win-at-all-costs attitude, even if winning means losing himself.",English,United States,https://m.media-amazon.com/images/M/MV5BZWIwMGM3NGItOTNkYi00NGM0LWJiNzItMDBjMzJkZWY2MzcxXkEyXkFqcGdeQXVyMjY2NDc0OTQ@._V1_SX300.jpg,,,,,
Borgman,2013,Not Rated,29 Aug 2013,113 min,"Drama, Horror, Mystery",Alex van Warmerdam,Alex van Warmerdam,"Jan Bijvoet, Hadewych Minis, Jeroen Perceval","A vagrant enters the lives of an arrogant upper-class family, turning their lives into a psychological nightmare in the process.","Dutch, English","Netherlands, Belgium, Denmark",https://m.media-amazon.com/images/M/MV5BNDg5OTk0OTI3MF5BMl5BanBnXkFtZTgwMjYxMDM1MTE@._V1_SX300.jpg,,,,,
