Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Saawariya,2007,PG,09 Nov 2007,142 min,"Drama, Musical, Romance",Sanjay Leela Bhansali,"Fyodor Dostoevsky, Prakash Kapadia, Vibhu Puri","Ranbir Kapoor, Sonam Kapoor, Salman Khan","Two souls arrive in a small town, one on vacation, the other to meet a lover. They spend the most magical dream-like days of their lives in that town... with each other.",Hindi,India,https://m.media-amazon.com/images/M/MV5BOTU1ZWZlZTUtZjdlMy00Zjk5LTlmMDQtMmQyNWZmMDY4NGU2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Paprika,2006,R,22 Jun 2007,90 min,"Animation, Drama, Fantasy",Satoshi Kon,"Yasutaka Tsutsui, Seishi Minakami, Satoshi Kon","Megumi Hayashibara, Tôru Emori, Katsunosuke Hori","When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.","Japanese, English",Japan,https://m.media-amazon.com/images/M/MV5BNDI4MGEwZDAtZDg0Yy00MjFhLTg1MjctODdmZTMyNTUyNDI3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,,,,,
The Bucket List,2007,PG-13,11 Jan 2008,97 min,"Adventure, Comedy, Drama",Rob Reiner,Justin Zackham,"Jack Nicholson, Morgan Freeman, Sean Hayes",Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_SX300.jpg,,,,,
The Hunting Party,2007,R,21 Sep 2007,101 min,"Adventure, Comedy, Drama",Richard Shepard,"Richard Shepard, Scott Anderson","Richard Gere, Terrence Howard, Jesse Eisenberg","A young journalist, a seasoned cameraman and a discredited war correspondent embark on an unauthorized mission to find the No.1 war criminal in Bosnia. However, their extremely dangerous target decides to come after them.","English, Bosnian, Serbo-Croatian, Serbian, Croatian","United States, Croatia, Bosnia and Herzegovina, Mexico",https://m.media-amazon.com/images/M/MV5BNTQ0OTA5NzgxMV5BMl5BanBnXkFtZTcwODc4OTM1MQ@@._V1_SX300.jpg,,,,,
Ta Ra Rum Pum,2007,Not Rated,27 Apr 2007,153 min,"Comedy, Drama, Family",Siddharth Anand,"Siddharth Anand, Habib Faisal","Saif Ali Khan, Rani Mukerji, Jaaved Jaaferi",Ace car racer RV and his wife have the world at their feet. But he has an accident and his world is turned upside down. Can he reclaim his lost glory?,"Hindi, English","United States, India",https://m.media-amazon.com/images/M/MV5BNGQ2Y2ViMWEtZWJmMS00ZjUzLTg1YzUtYTYzZTU0ZGI3YzY5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,,,,,
T-Rex: Back to the Cretaceous,1998,N/A,23 Oct 1998,45 min,"Adventure, Family, Fantasy",Brett Leonard,"Andrew Gellis, David Young, Jeanne Rosenberg","Peter Horton, Liz Stauber, Kari Coleman","A youth who finds a dinosaur egg accidentally breaks it. Soon after, she begins to have surreal visions of dinosaurs, including the Tyrannosaurus Rex.",English,United States,https://m.media-amazon.com/images/M/MV5BMTMyMDI3NTA3OF5BMl5BanBnXkFtZTcwODIyNzgxMQ@@._V1_SX300.jpg,,,,,
Inland Empire,2006,R,07 Feb 2007,180 min,"Drama, Fantasy, Mystery",David Lynch,David Lynch,"Karolina Gruszka, Krzysztof Majchrzak, Grace Zabriskie","As an actress begins to adopt the persona of her character in a film, her world becomes nightmarish and surreal.","English, Polish","France, Poland, United States",https://m.media-amazon.com/images/M/MV5BMTQ3NDQyNjM3NF5BMl5BanBnXkFtZTcwMzk5MDU0MQ@@._V1_SX300.jpg,,,,,
Sharkwater,2006,PG,02 Nov 2007,89 min,Documentary,Rob Stewart,Rob Stewart,"Rob Stewart, Paul Watson, Erich Ritter",An investigation of sharks' importance to ecosystems and humankind's mass destruction of shark species worldwide.,English,N/A,https://m.media-amazon.com/images/M/MV5BMTM2NjI2MDkyNV5BMl5BanBnXkFtZTcwMjcyNTE0MQ@@._V1_SX300.jpg,,,,,
The Good German,2006,R,19 Jan 2007,105 min,"Drama, Mystery, Romance",Steven Soderbergh,"Paul Attanasio, Joseph Kanon","George Clooney, Cate Blanchett, Tobey Maguire","While in post-war Berlin to cover the Potsdam Conference, an American military journalist is drawn into a murder investigation that involves his former mistress and his driver.","English, German, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTk3ODEzNDMxN15BMl5BanBnXkFtZTcwMzExODkzMQ@@._V1_SX300.jpg,,,,,
Control,2007,R,26 Sep 2007,122 min,"Biography, Drama, Music",Anton Corbijn,"Deborah Curtis, Matt Greenhalgh","Sam Riley, Samantha Morton, Craig Parkinson","A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",English,"United Kingdom, United States, Australia, Japan, France",https://m.media-amazon.com/images/M/MV5BNTEzOTYwMTcxN15BMl5BanBnXkFtZTcwNTgyNjI1MQ@@._V1_SX300.jpg,,,,,
How to Cook Your Life,2007,PG-13,10 May 2007,94 min,Documentary,Doris Dörrie,Doris Dörrie,"Edward Espe Brown, Doris Dörrie",A Zen priest in San Francisco and cookbook author use Zen Buddhism and cooking to relate to everyday life.,"English, German",Germany,https://m.media-amazon.com/images/M/MV5BMjA1OTMwMDkzNV5BMl5BanBnXkFtZTcwNDc0OTI1MQ@@._V1_SX300.jpg,,,,,
Bugs!,2003,Not Rated,03 Oct 2003,40 min,"Short, Documentary",Mike Slee,"Mike Slee, Abby Aron",Judi Dench,A film about the various insects in Borneo's rainforest.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BZWI0MDZkYjQtNTkxMy00Yjk5LTlkZWQtM2Q4NTgzOWRkNDM0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Into Great Silence,2005,Not Rated,10 Nov 2005,169 min,Documentary,Philip Gröning,Philip Gröning,N/A,"An examination of life inside the Grande Chartreuse, the head monastery of the reclusive Carthusian Order in France.","French, Latin","France, Switzerland, Germany",https://m.media-amazon.com/images/M/MV5BMWUzY2RmZDQtNjVmOS00MjEzLWE0YmUtZDRjYmJmYjEwNzAzXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,,,,,
Sweet Land,2005,PG,31 Jul 2008,110 min,"Drama, Romance",Ali Selim,"Will Weaver, Ali Selim","Elizabeth Reaser, Lois Smith, Patrick Heusinger","In 1920, Inge, a German national, travels from Norway to rural Minnesota for her arranged marriage to Olaf, a Norwegian farmer; bureaucracy and prejudice cause major complications.","English, German, Norwegian",United States,https://m.media-amazon.com/images/M/MV5BNzIxMzcwNjY3Ml5BMl5BanBnXkFtZTcwMTc4MjM3NA@@._V1_SX300.jpg,,,,,
The History Boys,2006,R,22 Dec 2006,109 min,"Comedy, Drama, Romance",Nicholas Hytner,Alan Bennett,"Richard Griffiths, Frances de la Tour, Clive Merrison","An unruly class of gifted and charming teenage boys are taught by two eccentric and innovative teachers, as their headmaster pushes for them all to get accepted into Oxford or Cambridge.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTQ3NTMxMzY5MF5BMl5BanBnXkFtZTcwMzY4OTQ0MQ@@._V1_SX300.jpg,,,,,
The Ten,2007,R,25 Apr 2008,96 min,"Comedy, Romance",David Wain,"Ken Marino, David Wain","Paul Rudd, Jessica Alba, Winona Ryder","10 stories, each inspired by one of the 10 commandments.","English, Spanish","United States, Mexico",https://m.media-amazon.com/images/M/MV5BNzc4MjU2MzY2N15BMl5BanBnXkFtZTcwNjExNTk0MQ@@._V1_SX300.jpg,,,,,
Rocket Science,2007,R,28 Sep 2007,101 min,"Comedy, Drama",Jeffrey Blitz,Jeffrey Blitz,"Reece Thompson, Anna Kendrick, Nicholas D'Agosto","Looking for answers to life's big questions, a stuttering boy joins his high school debate team.",English,United States,https://m.media-amazon.com/images/M/MV5BMjRmNTIyMDAtMTM2NC00YjFjLWFiMzgtNjgyYmFiMGE3MjYxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,,,,,
11th Hour,2021–,N/A,08 Apr 2021,N/A,"Drama, Thriller",N/A,N/A,"Tamannaah Bhatia, Vinay Nallakadi, Richard Bhakti Klein","Courageous, fearless, and ambitious - She's a woman trying to conquer a man's world. Will Aratrika win the biggest fight of her life?",Telugu,India,https://m.media-amazon.com/images/M/MV5BNmYwNjA0ZTQtMTJhNy00ZjdmLWIwY2UtNjM1YzNjN2M4NmViXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_SX300.jpg,,1,,,
Jhoom Barabar Jhoom,2007,Not Rated,15 Jun 2007,138 min,"Comedy, Drama, Musical",Shaad Ali,"Habib Faisal, Anurag Kashyap, Shaad Ali","Abhishek Bachchan, Preity Zinta, Bobby Deol","A crazy love story full of lies, deceits and a complicated quadrangle where each one has to think quickly and dance around each other's emotions.","English, Hindi, Punjabi",India,https://m.media-amazon.com/images/M/MV5BZDQ3YjdlNDUtYjRhNy00OTZhLWI3MTItZDZmMzg3YTg2NTJkXkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,,,,,
Lady Chatterley,2006,R,01 Nov 2006,168 min,"Drama, Romance",Pascale Ferran,"D.H. Lawrence, Roger Bohbot, Pascale Ferran","Marina Hands, Jean-Louis Coulloc'h, Hippolyte Girardot",A French adaptation of the second (and much less well-known) version of D.H. Lawrence's erotic tale.,French,N/A,https://m.media-amazon.com/images/M/MV5BMTM1NDg2NzE1OV5BMl5BanBnXkFtZTcwMjIyMzU1MQ@@._V1_SX300.jpg,,,,,
"More Coffe, Less Sugar",2010,N/A,15 Oct 2010,40 min,"Short, Comedy",Sasha Poberailo,Sasha Poberailo,"Oleg Adereiko, Michael Belov, Anna Darmoriz","The film tells about the four strange stories that take place in a cafe interconnected. Accidentally meeting photographers converge on his hobby, but one of them hides a secret - Business meeting the businessman, which he took his...",Russian,Ukraine,https://m.media-amazon.com/images/M/MV5BNGNmZDIxYTUtZDE0OS00MDZlLTllZDYtOGI3Y2JmNTA0MjZiXkEyXkFqcGdeQXVyMjMwODI1NTQ@._V1_SX300.jpg,,,,,
Laaga Chunari Mein Daag: Journey of a Woman,2007,Not Rated,12 Oct 2007,122 min,"Drama, Family, Romance",Pradeep Sarkar,"Rekha Nigam, Pradeep Sarkar","Rani Mukerji, Jaya Bachchan, Konkona Sen Sharma",A small town girl lands in big bad Mumbai to earn an honest living but faces a confrontation she would've never dreamt of in her wildest dreams.,"Hindi, Bhojpuri",India,https://m.media-amazon.com/images/M/MV5BZDcyZjAyNWUtZmI1OC00YWNlLWExNWQtNTEwYjk0MGZjOGQ0XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,,,,,
The King of Kong: A Fistful of Quarters,2007,PG-13,28 Feb 2008,79 min,"Documentary, Biography, Sport",Seth Gordon,Seth Gordon,"Steve Wiebe, Billy Mitchell, Mark Alpiger",Die-hard gamers compete to break world records on classic arcade games.,English,United States,https://m.media-amazon.com/images/M/MV5BMzIwMmIwNzEtODhhOS00ZjFjLWI1OGMtNjBiMDFkMTgzZTY2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,,,,,
The Work and the Glory III: A House Divided,2006,PG,22 Nov 2006,89 min,"Drama, Western",Sterling Van Wagenen,"Gerald N. Lund, Matt Whitaker","Sam Hennings, Brenda Strong, Eric Johnson","Joshua Steed returns to Missouri a wealthy man with a beautiful wife; however, the past has a way of catching up. Soon Joshua is tangled in a web of rumors, deception and betrayal that threatens to tear his family apart. Back in K...",English,United States,https://m.media-amazon.com/images/M/MV5BNzY5MDMyNjYyOF5BMl5BanBnXkFtZTcwMDg1MDkzMQ@@._V1_SX300.jpg,,,,,
Molière,2007,PG-13,31 Jan 2007,120 min,"Biography, Comedy",Laurent Tirard,"Laurent Tirard, Grégoire Vigneron","Romain Duris, Fabrice Luchini, Laura Morante","To satisfy his creditors, a witty actor reinvents himself as a satirical playwright, with uproarious, yet bittersweet, results.",French,France,https://m.media-amazon.com/images/M/MV5BM2ZkMmNmN2MtMDY0Yi00YTQyLWJjOTQtMjcyZWE1M2NlMmFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Journey from the Fall,2006,R,21 Apr 2006,135 min,Drama,Ham Tran,"Ham Tran, Lam Nguyen","Kieu Chinh, Long Nguyen, Diem Lien","Thirteen years after the end of the Vietnam War, a family who was tragically affected by the war are forced to emigrate to America.","Vietnamese, English",United States,https://m.media-amazon.com/images/M/MV5BMTY5MTA5NTQyM15BMl5BanBnXkFtZTcwNDY0NDgyMQ@@._V1_SX300.jpg,,,,,
Haunted Castle,2001,PG,23 Feb 2001,38 min,"Animation, Short, Horror",Ben Stassen,"Kurt Frey, Ben Stassen","Jasper Steverlinck, Kyoko Baertsoen, Harry Shearer","This IMAX 3D film follows a young musician, Johnny, as he explores his mysterious new home bequeathed to him by his deceased mother. Johnny quickly finds that something is amiss as ghosts and the devil himself welcome him home.",English,"Belgium, United States",https://m.media-amazon.com/images/M/MV5BMTc3MjMzNDkyNF5BMl5BanBnXkFtZTcwMjcxODMyMQ@@._V1_SX300.jpg,,,,,
The Prestige,2006,PG-13,20 Oct 2006,130 min,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, Christopher Priest","Christian Bale, Hugh Jackman, Scarlett Johansson","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,,,,,
The Italian,2005,PG-13,22 Sep 2005,90 min,Drama,Andrey Kravchuk,Andrei Romanov,"Nikolay Spiridonov, Mariya Kuznetsova, Nikolay Reutov","Set in 2002, an abandoned 5-year-old boy living in a rundown orphanage in a small Russian village is adopted by an Italian family.","Russian, Italian, English",Russia,https://m.media-amazon.com/images/M/MV5BMTU2Nzc0NDA0N15BMl5BanBnXkFtZTcwODQwMTM0MQ@@._V1_SX300.jpg,,,,,
Starting Out in the Evening,2007,PG-13,01 Jan 2007,111 min,"Drama, Romance",Andrew Wagner,"Brian Morton, Fred Parnes, Andrew Wagner","Frank Langella, Lauren Ambrose, Patti Perkins",An ambitious graduate student convinces a writer that her thesis can resurrect his career.,English,United States,https://m.media-amazon.com/images/M/MV5BODA0NTI5Njk2MF5BMl5BanBnXkFtZTcwMTE1MTU1MQ@@._V1_SX300.jpg,,,,,
Aaja Nachle,2007,Not Rated,30 Nov 2007,137 min,"Drama, Family, Music",Anil Mehta,"Aditya Chopra, Jaideep Sahni","Madhuri Dixit, Darshan Jariwala, Raghuvir Yadav",Dia's dance teacher is dying. She returns to the town where she learnt to live and dance and most importantly to save the endangered Ajanta theatre.,Hindi,India,https://m.media-amazon.com/images/M/MV5BMjA4OTE5MjI4NV5BMl5BanBnXkFtZTgwNTc0NTYyNTM@._V1_SX300.jpg,,,,,
Joshua,2007,R,13 Jul 2007,106 min,"Drama, Horror, Thriller",George Ratliff,"David Gilbert, George Ratliff","Sam Rockwell, Vera Farmiga, Jacob Kogan","The arrival of a newborn girl causes the gradual disintegration of the Cairn family; particularly for 9-year-old Joshua (Kogan), an eccentric boy whose proper upbringing and refined tastes both take a sinister turn.",English,United States,https://m.media-amazon.com/images/M/MV5BMjE5NTMyMzA0OV5BMl5BanBnXkFtZTcwNDExNTk0MQ@@._V1_SX300.jpg,,,,,
DOA: Dead or Alive,2006,PG-13,15 Jun 2007,87 min,"Action, Adventure, Mystery",Corey Yuen,"J.F. Lawton, Adam Gross, Seth Gross","Jaime Pressly, Devon Aoki, Sarah Carter","The world's best fighters are invited to DOA, an invitational martial arts contest. There, four female rival fighters will have to work together to uncover the secret that the organizer of the tournament is trying to hide.",English,"United Kingdom, Germany, Japan, United States",https://m.media-amazon.com/images/M/MV5BMTIyNDQ0NDExMl5BMl5BanBnXkFtZTcwODAxMTk0MQ@@._V1_SX300.jpg,,,,,
Day Watch,2006,R,15 Jun 2007,132 min,"Action, Fantasy, Horror",Timur Bekmambetov,"Timur Bekmambetov, Sergey Lukyanenko, Alexander Talal","Konstantin Khabenskiy, Mariya Poroshina, Vladimir Menshov","A man who serves in the war between the forces of Light and Dark comes into possession of a device that can restore life to Moscow, which was nearly destroyed by an apocalyptic event.",Russian,Russia,https://m.media-amazon.com/images/M/MV5BMjMzNjQwODc2N15BMl5BanBnXkFtZTgwMDI3MDQzMzI@._V1_SX300.jpg,,,,,
Brooklyn Rules,2007,R,28 May 2009,99 min,"Crime, Drama",Michael Corrente,Terence Winter,"Paulo Araujo, Daniel Tay, Ty Thomas Reed","Brooklyn, 1985. With the mob world as a backdrop, three life-long friends struggle with questions of love, loss and loyalty.",English,United States,https://m.media-amazon.com/images/M/MV5BMTM3MTAwNDk0N15BMl5BanBnXkFtZTcwOTM0MzA1MQ@@._V1_SX300.jpg,,,,,
Wristcutters: A Love Story,2006,R,02 Nov 2007,88 min,"Comedy, Drama, Fantasy",Goran Dukic,"Goran Dukic, Etgar Keret","Patrick Fugit, Shea Whigham, Tom Waits",A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,"English, Russian","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BOGU3NTRhYWYtZWI3YS00NTZjLTliMWUtNTIyMGQ1MzliMjFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
When the Road Bends... Tales of a Gypsy Caravan,2006,Unrated,15 Jun 2007,110 min,"Documentary, Music",Jasmine Dellal,N/A,"Maharaja, Esma Redzepova, Taraf de Haidouks","A brief look into Romani culture and Rom (Gypsies) from around the globe as five famous Romani groups tour the USA. The film visits their families at home in Spain, India, Macedonia and Romania.","English, Spanish, Romany, Romanian, Macedonian, Hindi",United States,https://m.media-amazon.com/images/M/MV5BMTgyMDY2Njc5N15BMl5BanBnXkFtZTcwOTMzNTk0MQ@@._V1_SX300.jpg,,,,,
There Will Be Blood,2007,R,25 Jan 2008,158 min,Drama,Paul Thomas Anderson,"Paul Thomas Anderson, Upton Sinclair","Daniel Day-Lewis, Paul Dano, Ciarán Hinds","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","English, American Sign ",United States,https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_SX300.jpg,,,,,
Seraphim Falls,2006,R,13 Apr 2007,115 min,"Action, Drama, Thriller",David Von Ancken,"David Von Ancken, Abby Everett Jaques","Pierce Brosnan, Liam Neeson, Anjelica Huston","After the end of the American Civil War, a former Confederate colonel hunts down a former Yankee officer with whom he has a grudge.",English,United States,https://m.media-amazon.com/images/M/MV5BOGFlMGFkODEtZDM2Mi00NTVkLTlmNDMtZjY2OWU4MzBlMjNkXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,,,,,
Interview,2007,R,10 May 2007,84 min,Drama,Steve Buscemi,"David Schechter, Theo van Gogh, Theodor Holman","Sienna Miller, Steve Buscemi, Michael Buscemi","After falling out with his editor, a fading political journalist is forced to interview America's most popular soap actress.",English,"United States, Canada, Netherlands",https://m.media-amazon.com/images/M/MV5BMjU5ODAzZjItMmVhMy00YTc5LWEzNjktM2IwOWFlZGVmZmZmXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,,,,,
Killer of Sheep,1978,N/A,14 Nov 1978,80 min,Drama,Charles Burnett,Charles Burnett,"Henry G. Sanders, Kaycee Moore, Charles Bracy","Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support.",English,United States,https://m.media-amazon.com/images/M/MV5BMTYwNjI3Mzk3Ml5BMl5BanBnXkFtZTYwMDQ0NjY3._V1_SX300.jpg,,,,,
Little Miss Sunshine,2006,R,18 Aug 2006,101 min,"Comedy, Drama","Jonathan Dayton, Valerie Faris",Michael Arndt,"Steve Carell, Toni Collette, Greg Kinnear",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,English,United States,https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_SX300.jpg,,,,,
Jindabyne,2006,R,20 Jul 2006,123 min,"Crime, Drama, Mystery",Ray Lawrence,"Beatrix Christian, Raymond Carver","Laura Linney, Gabriel Byrne, John Howard","After four men on a fishing trip discover a dead body in the water, they choose to delay reporting it and continue fishing.","English, Irish Gaelic, Aboriginal",Australia,https://m.media-amazon.com/images/M/MV5BMTIwNzg2MzE3OV5BMl5BanBnXkFtZTcwNzkwMjQzMQ@@._V1_SX300.jpg,,,,,
Mafioso,1962,Not Rated,04 Mar 1965,105 min,"Comedy, Crime, Drama",Alberto Lattuada,"Rafael Azcona, Bruno Caruso, Marco Ferreri","Alberto Sordi, Norma Bengell, Gabriella Conti","When a good-natured factory supervisor living in Milan with his Northern wife returns to his native Sicily, a decades'-old oath forces him to fulfill a nightmarish obligation.","Italian, English, French, German",Italy,https://m.media-amazon.com/images/M/MV5BNDNhZDhiOTgtNTBjNC00M2RiLWE2YWMtOTRjN2RiY2Y2MWNkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,,,,
Manufactured Landscapes,2006,Unrated,13 Jun 2007,86 min,Documentary,Jennifer Baichwal,Lucas Lackner,Edward Burtynsky,Photographer Edward Burtynsky travels the world observing changes in landscapes due to industrial work and manufacturing.,"English, Cantonese, Mandarin",Canada,https://m.media-amazon.com/images/M/MV5BODUyMzUzNDQ2Nl5BMl5BanBnXkFtZTcwNDc3OTQ1MQ@@._V1_SX300.jpg,,,,,
The Last Sin Eater,2007,PG-13,09 Feb 2007,117 min,Drama,Michael Landon Jr.,"Brian Bird, Michael Landon Jr., Francine Rivers","Louise Fletcher, Henry Thomas, Liana Liberato","In seeking her own redemption from the man of whom she is most afraid, ten-year-old Cadi Forbes discovers a secret sin haunting her community of Welsh immigrants in 1850s Appalachia.",English,United States,https://m.media-amazon.com/images/M/MV5BMTIyMjIzNTgzN15BMl5BanBnXkFtZTcwNzA2NTQ0MQ@@._V1_SX300.jpg,,,,,
