Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons
The Mountain,2012,N/A,16 Nov 2012,90 min,"Adventure, Drama, Thriller",Alper Caglar,Alper Caglar,"Caglar Ertugrul, Ufuk Bayraktar, Firat Dogruloglu","The heroic story of two soldiers trapped in an ambush, fighting for their lives.",Turkish,Turkey,https://m.media-amazon.com/images/M/MV5BMTc0MjMyMzI1OF5BMl5BanBnXkFtZTcwMzc2NjM4OA@@._V1_SX300.jpg,,
Wild,2014,R,19 Dec 2014,115 min,"Adventure, Biography, Drama",Jean-Marc Vallée,"Nick Hornby, Cheryl Strayed","Reese Witherspoon, Laura Dern, Gaby Hoffmann","A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",English,United States,https://m.media-amazon.com/images/M/MV5BMGMzZmYzYmUtNTJiYi00MjZjLTkyZmMtZGJhYWRlMDBkMDIyXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_SX300.jpg,,
Greener Grass,2019,Unrated,18 Oct 2019,95 min,Comedy,"Jocelyn DeBoer, Dawn Luebbe","Jocelyn DeBoer, Dawn Luebbe","Jocelyn DeBoer, Dawn Luebbe, Beck Bennett",Suburban soccer moms find themselves constantly competing against each other in their personal lives as their kids settle their differences on the field.,English,United States,https://m.media-amazon.com/images/M/MV5BMmUxNDUxYmMtZTFkZi00NTVlLWI0ZTQtZmRhYzYxNzIxMmYyXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,,
Mickey and the Bear,2019,R,13 Nov 2019,88 min,Drama,Annabelle Attanasio,Annabelle Attanasio,"Camila Morrone, James Badge Dale, Calvin Demba","Faced with the responsibility to take care of her addict, veteran father, headstrong teen Mickey Peck keeps her household afloat.",English,United States,https://m.media-amazon.com/images/M/MV5BZTUzM2NhN2ItM2Q1OS00ZjJlLWIwZDctYjg1MTljOGJiOGQwXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,,
Invisible Life,2019,R,20 Dec 2019,139 min,Drama,Karim Aïnouz,"Murilo Hauser, Inés Bortagaray, Karim Aïnouz","Julia Stockler, Carol Duarte, Flávia Gusmão","Kept apart by a terrible lie and a conservative society, two sisters born in Rio de Janeiro make their way through life each believing the other is living out her dreams half a world away.","Portuguese, Greek","Brazil, Germany",https://m.media-amazon.com/images/M/MV5BMzI4ZGExYTctMTRlZS00MzgzLWI1NTktYzk5ODkzOWNlZjc0XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
One Cut of the Dead,2017,Not Rated,24 Sep 2019,96 min,"Comedy, Drama, Horror",Shin'ichirô Ueda,"Shin'ichirô Ueda, Ryoichi Wada","Takayuki Hamatsu, Yuzuki Akiyama, Harumi Shuhama","Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies.",Japanese,Japan,https://m.media-amazon.com/images/M/MV5BY2RhNTVhMTEtMzgyNi00NDg1LWIwYjktOTcxNDQyM2ZjNDE1XkEyXkFqcGdeQXVyMTY1NzY2NA@@._V1_SX300.jpg,,
End of the Century,2003,Unrated,27 Nov 2004,110 min,"Documentary, Biography, Music","Jim Fields, Michael Gramaglia",N/A,"Rick Rubin, Tommy Ramone, Dee Dee Ramone",The story of the punk rock band The Ramones.,English,United States,https://m.media-amazon.com/images/M/MV5BM2YyZDE3MWQtOTM0Zi00Y2MzLWFlNDctNzVlNDA4NWQ1NzBiXkEyXkFqcGdeQXVyNjYyMTYxMzk@._V1_SX300.jpg,,
Charlie Says,2018,R,17 May 2019,110 min,"Biography, Crime, Drama",Mary Harron,"Guinevere Turner, Ed Sanders, Karlene Faith","Hannah Murray, Matt Smith, Sosie Bacon",The tragic tale of an all-American girl who was transformed into a cold-blooded killer in the summer of 1969.,English,United States,https://m.media-amazon.com/images/M/MV5BMTU4Njg0NzM1OF5BMl5BanBnXkFtZTgwNjMxOTE4NzM@._V1_SX300.jpg,,
Mojin: The Worm Valley,2018,N/A,04 Jan 2019,110 min,"Action, Adventure, Fantasy",Xing Fei,Muye Zhang,"Heng Cai, Xuan Gu, Heng Yu","Once again the legendary tomb explorer Hu Bayi is on a dangerous mission as he seeks out the Tomb of Emperor Xian, located on an island of monstrous creatures in this mystical action-adventure.",Mandarin,China,https://m.media-amazon.com/images/M/MV5BYTAzYzI1ZDYtNDUwYS00OTg4LTg4N2ItMTk5MTUxYzgyMGM4XkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_SX300.jpg,,
The Hate U Give,2018,PG-13,19 Oct 2018,133 min,"Crime, Drama",George Tillman Jr.,"Audrey Wells, Angie Thomas","Amandla Stenberg, Regina Hall, Russell Hornsby","Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressure from all sides of the community, Starr must find her voice and stand up for what's right.",English,United States,https://m.media-amazon.com/images/M/MV5BZDVkMWJiMzUtNjQyOS00MGVmLWJhYmMtN2IxYzU4MjY3MDRmXkEyXkFqcGdeQXVyNzA5NjIzODk@._V1_SX300.jpg,,
Ophelia,2018,PG-13,28 Jun 2019,106 min,"Drama, Romance, Thriller",Claire McCarthy,"Semi Chellas, Lisa Klein, William Shakespeare","Daisy Ridley, Mia Quiney, Calum O'Rourke","A reimagining of Hamlet, told from Ophelia's perspective.","English, Norwegian, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTU2OTAxNjI2OV5BMl5BanBnXkFtZTgwNzc2NjUwODM@._V1_SX300.jpg,,
Clinton Road,2019,N/A,14 Jun 2019,77 min,"Horror, Mystery","Richard Grieco, Steve Stanulis","Noel Ashman, Derek Ross Mackay, Steve Stanulis","Ace Young, Erin O'Brien, Cody Calafiore",A widowed firefighter seeks closure after his wife goes missing on an actual haunted road in rural New Jersey but must unlock the road's secret if he wants to get out alive.,English,N/A,https://m.media-amazon.com/images/M/MV5BOTg2NGZhMzYtNmM4MC00N2Q2LWJkZDMtMjMxMDM3ZmRkNjVhXkEyXkFqcGdeQXVyOTE1MDc0Ng@@._V1_SX300.jpg,,
American Dharma,2018,R,01 Nov 2019,95 min,"Documentary, Biography",Errol Morris,N/A,"Steve Bannon, Bill Clinton, Hillary Clinton","A portrait of controversial political strategist and former Donald Trump advisor, Steve Bannon.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BYmM5Njg3NWQtNTI0Yi00MDRkLWEwODEtMDRlMzViMTJmZDU3XkEyXkFqcGdeQXVyNDA3MDgzOTQ@._V1_SX300.jpg,,
"Love, Antosha",2019,R,02 Aug 2019,92 min,"Documentary, Biography, Music",Garret Price,N/A,"Anton Yelchin, J.J. Abrams, Sofia Boutella",A portrait of the extraordinary life and career of actor Anton Yelchin.,"English, Russian",United States,https://m.media-amazon.com/images/M/MV5BMGFjZTc2NWUtMDI2Mi00NmZhLTllM2YtMTk4YjE3YWI5ZWNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
The Bounty Killer,1965,Approved,31 Jul 1965,92 min,Western,Spencer Gordon Bennet,"Ruth Alexander, Leo Gordon","Dan Duryea, Rod Cameron, Audrey Dalton",A tenderfoot becomes a bounty hunter in the hopes of making a better future for himself and his new love.,English,United States,https://m.media-amazon.com/images/M/MV5BODFiZGI3NzEtNzhjOS00YjdkLTliNWYtM2MxN2Y4NGIxMTQ5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,
The Queen,2006,PG-13,17 Nov 2006,103 min,"Biography, Drama",Stephen Frears,Peter Morgan,"Helen Mirren, Michael Sheen, James Cromwell","After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.","English, German, French","United Kingdom, United States, France, Italy",https://m.media-amazon.com/images/M/MV5BMTQ3NTMxODg1Ml5BMl5BanBnXkFtZTcwMjEyMjczMQ@@._V1_SX300.jpg,,
Under the Silver Lake,2018,R,19 Apr 2019,139 min,"Crime, Drama, Mystery",David Robert Mitchell,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace","Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre.",English,United States,https://m.media-amazon.com/images/M/MV5BYjY0NTA5MGItNDU1Yy00ZmE3LWI5NGItZDY5OGUxZjYzZGQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
High on the Hog,2019,R,16 Apr 2019,85 min,"Action, Crime, Drama",Tony Wash,"Andy Golub, Kevin C. Lockhart, Jeremy Silva","Sid Haig, Joe Estevez, Robert Z'Dar","With a potent strain of pot sweeping the City, DTA agents attempt to infiltrate a small town farming operation that has a strong leader and interesting family members.",English,United States,https://m.media-amazon.com/images/M/MV5BODhmY2JiYWQtNTE2MS00YTI0LWE0ZjctZmJlMDM4ZjU0MThlXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,,
The Proposal,2009,PG-13,19 Jun 2009,108 min,"Comedy, Drama, Romance",Anne Fletcher,Peter Chiarelli,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,English,United States,https://m.media-amazon.com/images/M/MV5BOGM5YTNiYzktNmEwZC00ZjE5LWIyNzEtOTUwNDE0NmVkYzE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
The Cave,2005,PG-13,26 Aug 2005,97 min,"Adventure, Horror, Sci-Fi",Bruce Hunt,"Michael Steinberg, Tegan West","Piper Perabo, Morris Chestnut, Cole Hauser",Blood-thirsty creatures await a pack of divers who become trapped in an underwater cave network.,"English, Romanian","United States, Germany",https://m.media-amazon.com/images/M/MV5BMTI4MTQ1NjQ2Ml5BMl5BanBnXkFtZTcwNTkzMTMzMQ@@._V1_SX300.jpg,,
What Is Democracy?,2018,N/A,16 Jan 2019,107 min,Documentary,Astra Taylor,Astra Taylor,"Astra Taylor, Silvia Federici, Eleni Perdikouri","This documentary examines the philosophy behind the concept of Democracy, from ancient Athens to modern Greece and the American Civil Rights movement.","English, Greek, Arabic, Spanish, Latin",Canada,https://m.media-amazon.com/images/M/MV5BMDg5MmI3NjQtYjNjMS00NDUxLTllYzAtYWY5M2Y4ZTc0Y2Q3XkEyXkFqcGdeQXVyMTQ4NDY5OTc@._V1_SX300.jpg,,
Becoming Astrid,2018,N/A,14 Sep 2018,123 min,"Biography, Drama",Pernille Fischer Christensen,"Kim Fupz Aakeson, Pernille Fischer Christensen","Alba August, Maria Bonnevie, Trine Dyrholm","Biopic of Swedish writer Astrid Lindgren, the author of numerous children's books and creator of Pippi Longstocking.","Swedish, Danish",N/A,https://m.media-amazon.com/images/M/MV5BMDU3ODdiNzktMTliNC00YWU1LTlmMzItYTkyOWUyYTZmZjljXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,,
Carmine Street Guitars,2018,N/A,24 Apr 2019,80 min,"Documentary, Music",Ron Mann,Len Blum,"Rick Kelly, Cindy Hulej, Dorothy Kelly",Five days in the life of fabled Greenwich Village guitar store Carmine Street Guitars.,English,"Canada, Germany",https://m.media-amazon.com/images/M/MV5BODNhY2Y2MmMtYjQyMi00MWMxLTlmNjMtODgyZDA3OGEwOTFlXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,,
For Sama,2019,TV-PG,26 Jul 2019,100 min,"Documentary, Biography, War","Waad Al-Kateab, Edward Watts",N/A,"Waad Al-Kateab, Sama Al-Khateab, Hamza Al-Khateab",FOR SAMA is both an intimate and epic journey into the female experience of war.,"Arabic, English","United Kingdom, Syria, United States",https://m.media-amazon.com/images/M/MV5BYzE2NWE0OWEtMjk5NS00OWYwLWEwNzQtMGFhZTIzYTgxZjI0XkEyXkFqcGdeQXVyNDY2NDMxNDY@._V1_SX300.jpg,,
Fagara,2019,N/A,13 Sep 2019,118 min,"Comedy, Drama",Heiward Mak,"Amy Cheung, Heiward Mak, Bill Lui","Kenny Bee, Sammi Cheng, Lo Chun Yip",A young woman from Hong Kong has to reunite with her sisters to settle debts after her father dies.,"Cantonese, Mandarin, English","Hong Kong, China",https://m.media-amazon.com/images/M/MV5BN2MzYzdhNDAtOTNmZS00Y2VlLTk3MjItMzU5ZDQ1ZWE4OTk4XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,,
Immortal Hero,2019,PG,18 Oct 2019,118 min,Drama,Hiroshi Akabane,"Ryuho Okawa, Sayaka Okawa","Hisaaki Takeuchi, Fumika Shimizu, Tamao Satô",A man's near death experience inspires him to choose life - and change the lives of millions.,Japanese,Japan,https://m.media-amazon.com/images/M/MV5BYzdkNzZjNGYtODNiMC00MzRjLWEwMmEtNjc2NDFmMGQ4ODgzXkEyXkFqcGdeQXVyOTczOTE5NjU@._V1_SX300.jpg,,
Midnight Traveler,2019,N/A,18 Sep 2019,88 min,"Documentary, War",Hassan Fazili,Emelie Mahdavian,"Hassan Fazili, Nargis Fazili, Zahra Fazili","When the Taliban puts a bounty on Hassan Fazili's head, he is forced to flee with his wife and two daughters. Capturing the journey, Fazili shows the dangers facing refugees seeking asylum and the love shared between a family on t...","Persian, English, Turkish, Bulgarian","Qatar, United Kingdom, Canada, United States",https://m.media-amazon.com/images/M/MV5BMzlhNDI4YmItODE5OS00OTdjLTliNGQtYjQ4NTcxNzI0NjIxXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg,,
Aniara,2018,R,17 May 2019,106 min,"Drama, Sci-Fi","Pella Kagerman, Hugo Lilja","Pella Kagerman, Hugo Lilja, Harry Martinson","Emelie Garbers, Bianca Cruzeiro, Arvin Kananian","A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe.","Swedish, Spanish, English","Sweden, Denmark, United States",https://m.media-amazon.com/images/M/MV5BMjUzMzk4NDMzNV5BMl5BanBnXkFtZTgwNjE5NDY1NzM@._V1_SX300.jpg,,
Saint Judy,2018,PG-13,01 Mar 2019,106 min,"Biography, Drama",Sean Hanish,Dmitry Portnoy,"Michelle Monaghan, Leem Lubany, Common","The story of immigration attorney Judy Wood, and how she initiated the change in U.S. law of asylum to save women's lives.",English,United States,https://m.media-amazon.com/images/M/MV5BZjU5NmMwZmQtZWM3Yy00YzY1LTk5MmQtZDc1ZWI3YmUwMTM1XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg,,
Zilla and Zoe,2017,Not Rated,17 May 2019,104 min,Comedy,Jessica Scalise,N/A,"Greg James, Aida Valentine, Sam Kamerman","To win the contest of her dreams, Zoe will have to turn her sister's wedding into a horror film.",English,United States,https://m.media-amazon.com/images/M/MV5BOTI0YTQ5ZjktODBmZS00MjNmLThjMGMtMzVhOTFkN2RmZGJhXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,,
Shed of the Dead,2019,R,20 May 2019,82 min,"Comedy, Horror",Drew Cullingham,Drew Cullingham,"Spencer Brown, Lauren Socha, Ewen MacIntosh","A nerd spends his time at an allotment shed away from his wife. When the zombie apocalypse begins, he and his nerdy friend try to make it through and save the wife and her cute friend.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BY2JlYTk3OGUtMTJjMi00MmQ2LWJhMjUtODExOWM4YzFkZmUxXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,,
Wildlife,2018,PG-13,01 Jan 2019,105 min,Drama,Paul Dano,"Paul Dano, Zoe Kazan, Richard Ford","Ed Oxenbould, Jake Gyllenhaal, Carey Mulligan",A teenage boy must deal with his mother's complicated response after his father temporarily abandons them to take a menial and dangerous job.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BOTNlZWY2ZGQtY2U1ZS00Mjc5LWExNjgtM2Q4YzQyYTlmNjZhXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,,
Britt-Marie Was Here,2019,PG,20 Sep 2019,97 min,"Comedy, Drama, Sport",Tuva Novotny,"Anders Frithiof August, Fredrik Backman, Øystein Karlsen","Pernilla August, Peter Haber, Anders Mossling","Britt-Marie, 63 years old, has just left a 40 year old marriage and her long life as a house wife. Being told she is a nagging passive aggressive aunt, the new, only job, in small town Borg, will be quite challenging. Small town o...","Swedish, German",Sweden,https://m.media-amazon.com/images/M/MV5BMmI4NjA3OTUtMTdiMy00OTk3LWIwYjQtNDIxNGEyMTM1NmYwXkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_SX300.jpg,,
The Quiet One,2019,Unrated,21 Jun 2019,98 min,"Documentary, Music",Oliver Murray,Oliver Murray,"Bill Wyman, Suzanne Accosta, Tony Chapman","THE QUIET ONE offers a unique, never before revealed and behind-the-scenes look at the highs and lows of the life and career of Bill Wyman, former, founding member of the Rolling Stones and renaissance man of rock and roll.",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTg2YzFjMzEtYzMxMy00MDRmLWFhY2YtYzc3OWVkNTIwODc0XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,,
Recorder: The Marion Stokes Project,2019,Unrated,15 Nov 2019,87 min,"Documentary, Biography, History",Matt Wolf,N/A,"Anne Stokes Hochberg, Frank Hollman, Tom Keenan","For over 30 years, Marion Stokes obsessively and privately recorded American television news 24 hours a day filling 70,000 VHS tapes, capturing wars, talk shows and commercials that show us how television shaped the world of today.",English,United States,https://m.media-amazon.com/images/M/MV5BYjRmYzBiOTAtNzA3MS00MTk3LWI5NjktNjExMWI4NGI2NGEwXkEyXkFqcGdeQXVyMTAxMTY3MDg@._V1_SX300.jpg,,
The Sower,2017,N/A,01 Mar 2019,98 min,"Drama, Romance",Marine Francen,"Violette Ailhaud, Marine Francen, Jacqueline Surchat","Pauline Burlet, Géraldine Pailhas, Alban Lenoir","Violette is old enough to get married when her village in the Lower Alps is cruelly deprived of all its men by the repression that followed the republican uprising of December 1851. For the next two years, the village is completel...",French,"France, Belgium",https://m.media-amazon.com/images/M/MV5BZDg3NjIwNTQtODc3Yy00ZDRkLWIwODEtMDdlMDcyZTE3OTM0XkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_SX300.jpg,,
Buñuel in the Labyrinth of the Turtles,2018,TV-14,16 Aug 2019,80 min,"Animation, Biography, Drama",Salvador Simó,"Eligio R. Montero, Salvador Simó, Fermín Solís","Jorge Usón, Fernando Ramos, Luis Enrique de Tomás",The true story of how Luis Buñuel made his third movie.,"Spanish, French","Spain, Netherlands, Germany",https://m.media-amazon.com/images/M/MV5BODQ4NTFjMTQtMzkyNy00ZmVhLThhMDItZWQ0OGM3N2RkNDlmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
Yardie,2018,Not Rated,31 Aug 2018,101 min,"Crime, Drama",Idris Elba,"Brock Norman Brock, Martin Stellman, Victor Headley","Antwayne Eccleston, Fraser James, Aml Ameen",British crime drama film directed by Idris Elba based on the novel of the same name by Jamaican-born writer Victor Headley.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTcwMDkzMDAzNl5BMl5BanBnXkFtZTgwMzk1ODA4NTM@._V1_SX300.jpg,,
Loro 1,2018,N/A,20 Sep 2019,104 min,"Biography, Drama",Paolo Sorrentino,"Paolo Sorrentino, Umberto Contarello","Toni Servillo, Elena Sofia Ricci, Riccardo Scamarcio",A film about the life of Silvio Berlusconi.,Italian,"Italy, France",https://m.media-amazon.com/images/M/MV5BYTAxNzU4ZjUtMTFkNy00MzM0LWExNmQtN2RjYTM0ZTExMGYzXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_SX300.jpg,,
White Snake,2019,N/A,11 Jan 2019,99 min,"Animation, Action, Adventure","Amp Wong, Ji Zhao",Damao,"Matthew Moy, Stephanie Sheh, Vincent Rodriguez III",A love story between a snake spirit and a snake hunter.,"Mandarin, English","China, United States",https://m.media-amazon.com/images/M/MV5BYTE2ZGQ0NjctMzRlMy00NmI1LWFhNTUtYTAyNGNmMTk2Njg1XkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_SX300.jpg,,
Ága,2018,N/A,04 Sep 2019,96 min,Drama,Milko Lazarov,"Simeon Ventsislavov, Milko Lazarov","Mikhail Aprosimov, Feodosia Ivanova, Sergei Egorov","In the far north, Sedna and Nanook dream of bringing back their family together. After Sedna's death, Nanook walks a long way to find his daughter Ága, who ran away years ago.",Yakut,"Bulgaria, Germany, France",https://m.media-amazon.com/images/M/MV5BMTE5OTExNDAtYjU0ZC00NzdmLWI3NDMtMDc2OGM4NjM3MzVkXkEyXkFqcGdeQXVyMjU1NzMwMDQ@._V1_SX300.jpg,,
Maria By Callas,2017,PG,02 Nov 2018,119 min,"Documentary, Biography, Music",Tom Volf,N/A,"Fanny Ardant, Joyce DiDonato, Maria Callas","An intimate look at the life and work of Greek-American opera singer Maria Callas, as told in her own words.","English, French, Italian",France,https://m.media-amazon.com/images/M/MV5BNDQxODc2MGUtY2FkZi00NzdiLWI2MTEtZGMxNDA0OWJlMWIxXkEyXkFqcGdeQXVyODcyODY1Mzg@._V1_SX300.jpg,,
Killer Unicorn,2018,PG-13,14 Jun 2019,74 min,Horror,Drew Bolton,José D. Álvarez,"Dennis Budesheim, Alejandro La Rosa, Markus Kelle","American Pyscho, Party Monster and DJ Steve Aoki all combine for Killer Unicorn!",English,United States,https://m.media-amazon.com/images/M/MV5BN2I3MGMxNGQtNmRhYy00NGEwLWJlMmMtNGM1Nzg1OTgzMTNlXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,,
The Death of Dick Long,2019,R,07 Aug 2020,100 min,"Comedy, Crime, Drama",Daniel Scheinert,Billy Chew,"Michael Abbott Jr., Virginia Newcomb, Andre Hyland","Dick died last night, and Zeke and Earl don't want anybody finding out how. That's too bad though, cause news travels fast in small-town Alabama.",English,N/A,https://m.media-amazon.com/images/M/MV5BOTQ3ZjZhZjAtNWRkNy00NWQ3LWJlMDgtMTExYmY5NTc0MWY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,
Moonlight Sonata: Deafness in Three Movements,2019,Not Rated,13 Sep 2019,90 min,Documentary,Irene Taylor,N/A,Irene Taylor,"Moonlight Sonata is a deeply personal memoir about a deaf boy growing up, his deaf grandfather growing old, and Beethoven the year he was blindsided by deafness and wrote his iconic sonata. Their lives weave a story about what we ...",English,United States,https://m.media-amazon.com/images/M/MV5BN2M4MGZjZDMtNTYwZi00MGFkLWFjNTUtYzQ1OTY2Yjg1YjQ3XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,,
The Wild Pear Tree,2018,N/A,30 Jan 2019,188 min,Drama,Nuri Bilge Ceylan,"Ebru Ceylan, Nuri Bilge Ceylan, Akin Aksu","Dogu Demirkol, Murat Cemcir, Bennu Yildirimlar","An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling.",Turkish,"Turkey, North Macedonia, France, Germany, Bosnia and Herzegovina, Bulgaria, Sweden, Qatar",https://m.media-amazon.com/images/M/MV5BZjJmMGZmZTQtOWQ5NS00YjUwLWI4ZjEtZGY5NzBlMmY5ZGZlXkEyXkFqcGdeQXVyMTg5MDEyNw@@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
An Acceptable Loss,2018,R,18 Jan 2019,102 min,"Drama, Thriller",Joe Chappelle,Joe Chappelle,"Tika Sumpter, Jamie Lee Curtis, Ben Tavassoli",Libby teaches at a university but 4 years ago she was top aide to VP Rachel and was part of a total victory action. Rachel is now US president and worried about Libby keeping quiet. Libby also has a student spying on her.,English,United States,https://m.media-amazon.com/images/M/MV5BNTlmODY4MjQtZDUzNC00YWFhLWJjNTktYTMyYjY1OTVjOTc1XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,,
10E,2019,N/A,27 Sep 2019,94 min,Comedy,Vahik Pirhamzei,"Menua Minasian, Vahik Pirhamzei","Vahik Pirhamzei, Poema Oleas Mekhitarian, Karina Piliguian","A few years after her mother's passing, 17-year old Tennie's reputation at school takes a major hit before the prom. To further complicate the daily rigors of teenage life, her father, Robert, an advertising executive who has sinc...",English,United States,https://m.media-amazon.com/images/M/MV5BNDQ1NDY2NTMtN2RiMi00ZTAyLTg0YzUtZTk1MDJmZTUwNWFjXkEyXkFqcGdeQXVyMjMxNjExMDU@._V1_SX300.jpg,,
Desolation Center,2018,N/A,25 Jan 2019,93 min,Documentary,Stuart Swezey,N/A,"Anthony Ausgang, Joe Baiza, Bob Bert","The story of a group of 1980s punk artists who started organizing and playing desert shows that later inspired Burning Man, Coachella, and Lollapalooza.",English,United States,https://m.media-amazon.com/images/M/MV5BMjIyMTE2NTA0Ml5BMl5BanBnXkFtZTgwMzcxOTUyNzM@._V1_SX300.jpg,,
Knife + Heart,2018,Unrated,15 Mar 2019,102 min,"Drama, Horror, Mystery",Yann Gonzalez,"Yann Gonzalez, Cristiano Mangione","Vanessa Paradis, Nicolas Maury, Kate Moran","Paris, summer 1979. Anne is a producer of cheap gay porn. When Lois, her editor and companion, leaves her, she attempts to get her back by making a more ambitious film with the flamboyant Archibald.","French, Spanish","France, Mexico, Switzerland",https://m.media-amazon.com/images/M/MV5BNWU0OGU5NzctNWVjYy00OWUyLWJhMTctY2E4ODM2MmEyNTExXkEyXkFqcGdeQXVyMTc5OTQwMzk@._V1_SX300.jpg,,
Gift,1993,N/A,20 Aug 1993,80 min,"Documentary, Music","Perry Farrell, Casey Niccoli",N/A,"Eric Avery, Sherri Durell, Perry Farrell, Ice-T",What would you do if you came home and found your wife dead? Do you call the cops? Her parents? That's where the true nightmare begins. A story of love. A man and a woman's final night ...,English,USA,https://m.media-amazon.com/images/M/MV5BNDAzOTRiYWEtYTU1NS00ZjYyLTkyNDktNWJjZTY2MDkxMTg4XkEyXkFqcGdeQXVyOTQxNTcxMTM@._V1_SX300.jpg,,
Memory: The Origins of Alien,2019,Not Rated,04 Oct 2019,95 min,"Documentary, Biography, History",Alexandre O. Philippe,Alexandre O. Philippe,"Clarke Wolfe, Nicholas Cull, William Linn","An in-depth voyage into the sci-fi film ""Alien"" with the visionary filmmakers who created it. See how one of the most terrifying movies of all time came to life 40 years ago, inspired by ancient mythology and our universal fears.","English, Greek","United States, France",https://m.media-amazon.com/images/M/MV5BMzZjZWZhOWUtMGFkMS00NGRhLThmN2EtNmZlMTRkOWRlMzQwXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,,
Pasolini,2014,N/A,10 May 2019,84 min,"Biography, Drama",Abel Ferrara,"Maurizio Braucci, Abel Ferrara, Nicola Tranquillino","Willem Dafoe, Ninetto Davoli, Riccardo Scamarcio",A kaleidoscopic look at the last day of Italian filmmaker Pier Paolo Pasolini in 1975.,"English, Italian, French","France, Belgium, Italy",https://m.media-amazon.com/images/M/MV5BMDA1YTcwNDYtOTkzZi00MDhmLTg1M2MtYWYwNDllN2RjZTc3XkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,,
Sorry Angel,2018,Not Rated,15 Feb 2019,132 min,"Comedy, Drama, Romance",Christophe Honoré,Christophe Honoré,"Vincent Lacoste, Pierre Deladonchamps, Denis Podalydès",Jacques is an older writer from Paris. Arthur is a young student in Rennes. They instantly fall in love. But they'll have to face rejection and sickness to keep it that way.,French,France,https://m.media-amazon.com/images/M/MV5BZDE0ZWJiODQtYTY5My00NDJiLWI2NmUtN2FiODNmYzIxYTQ0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,
,,,,,,,,,,,,,Movie not found!,
